frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
9,3.0,[737.7899784830968 1395.6434846083066 1425.91803783418 2025.3729507133448],[939.5337524414062 1790.1470947265625 1186.9176025390625 1891.5611572265625],0.3823731541633606,NA13NRU,0.43275090071511463
10,5.0,[2190.585859822409 1176.3148463594741 2792.0358381873107 1768.7149792547277],[2409.617431640625 1582.869140625 2586.439453125 1661.171630859375],0.548545777797699,NO51YSU,0.12555200652823273
10,3.0,[737.1461639751171 1398.9863179000804 1429.4294111379152 2030.6458579010614],[944.3615112304688 1789.65234375 1190.1475830078125 1894.57470703125],0.48985493183135986,NA13NRU,0.3029113445071425
11,3.0,[733.2778572609316 1403.177261083844 1427.5526246564134 2037.9079490353972],[960.31787109375 1795.8046875 1183.8076171875 1896.24462890625],0.4823278784751892,NA13MRU,0.717729979765072
12,3.0,[729.6140360442541 1404.6557045665008 1424.385074386972 2042.0139530927468],[942.8507080078125 1801.5003662109375 1186.4876708984375 1903.412841796875],0.5095681548118591,NA13NRU,0.7496565467936993
13,5.0,[2194.196262103779 1168.4643696650264 2808.907315748197 1772.5254924965652],[2417.8037109375 1587.73095703125 2591.12109375 1673.79638671875],0.6277612447738647,MI51VSU,0.1027364977482953
13,3.0,[728.0804570565294 1404.7618513279663 1423.3352297910526 2043.8418122035264],[942.6343383789062 1801.4334716796875 1186.44677734375 1903.3616943359375],0.5081434845924377,NA13NRU,0.7496565467936993
14,5.0,[2195.1955330795327 1176.6764045829473 2813.002858592471 1778.3733850599965],[2416.26318359375 1588.575439453125 2588.637939453125 1672.935791015625],0.6033241152763367,MU51VSU,0.368184047955682
14,3.0,[726.1334806647147 1407.3290624734718 1424.2256757233472 2052.5669222736583],[938.5865478515625 1806.944091796875 1184.9033203125 1910.937744140625],0.5715637803077698,NA13NRU,0.8401048375419319
15,3.0,[724.1214214043291 1408.663113869513 1420.1953132292485 2053.5928156329],[936.3854370117188 1821.57861328125 1156.067626953125 1914.489990234375],0.5857396125793457,MA13NRU,0.3853092116314235
16,3.0,[721.5260290494832 1412.7576417966816 1419.0417344905993 2057.0099509868824],[959.57373046875 1825.4285888671875 1170.8665771484375 1918.2806396484375],0.5430044531822205,NA13MRU,0.2950558250979259
17,3.0,[716.8063756131502 1417.6654667750686 1415.0521196109594 2062.506734822201],[956.8648681640625 1835.2493896484375 1170.9140625 1923.597412109375],0.5816138982772827,NA13NRU,0.41876360435193827
20,5.0,[2199.25374474086 1192.7810782226911 2826.3845798982543 1796.387368073958],[2423.8251953125 1600.379638671875 2596.507568359375 1695.6168212890625],0.6303587555885315,MI51VSU,0.09061865296502093
20,3.0,[705.6113474071611 1424.019845672261 1410.2500689416606 2072.6070888555364],[919.9493408203125 1832.1390380859375 1182.2977294921875 1942.2491455078125],0.573345959186554,NA13NRU,0.3281263944787851
21,3.0,[702.7760572108696 1427.3331739217842 1409.3165935548686 2076.5952344122916],[909.047119140625 1837.880126953125 1168.2274169921875 1941.9415283203125],0.4001370966434479,NA13NRU,0.11158156901350358
23,3.0,[698.6372550729682 1435.5200828527554 1406.4153917826404 2085.5287508308693],[937.2142333984375 1852.22509765625 1163.384765625 1946.4991455078125],0.5188007354736328,NA13NRU,0.47121829500159684
24,5.0,[2194.519113610486 1193.4127726366578 2814.5998728932645 1811.1970627210467],[2424.659912109375 1618.4439697265625 2596.62744140625 1700.8780517578125],0.5696191191673279,NL51VSU,0.3587642031881318
24,3.0,[696.4377786047833 1440.9565573404502 1406.301318593906 2091.1666479903647],[926.5069580078125 1850.8685302734375 1162.0897216796875 1958.3228759765625],0.4789399206638336,NA13NRU,0.28749205414706136
25,5.0,[2195.0194553598735 1197.3017575411732 2814.348953506152 1812.8598652054366],[2424.696533203125 1618.3118896484375 2596.49560546875 1700.9034423828125],0.5691064596176147,NL51VSU,0.3442375715565258
26,3.0,[694.6484859849461 1443.164736861539 1406.6653964649709 2095.511505103555],[926.256591796875 1860.359375 1169.5982666015625 1966.033203125],0.5561968684196472,NA13NRU,0.4989321165853205
